ako,I,subj
ako,me,obj
ikaw,you,subj
ikaw,you,obj
ka,you,subj
siya,he,subj
siya,him,obj
sya,he,subj
sya,him,obj
ko,I,subj
ko,my,pos
mo,I,subj
mo,my,pos
niya,he,subj
nya,his,pos
kita,I,subj
kami,we,subj
tayo,we,subj
kayo,you,subj
sila,they,subj
sila,them,pos
nila,they,subj
nila,their,pos
namin,we,subj
namin,our,pos
natin,we,subj
natin,our,pos
ninyo,you,subj
ninyo,your,pos
akin,me,obj
akin,my,pos
iyo,you,obj
iyo,your,pos
kanya,him,obj
kanya,his,pos
amin,us,obj
amin,our,pos
atin,us,obj
atin,our,pos
inyo,you,obj
inyo,your,obj
kanila,them,obj
kanila,their,pos
